Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,25.790001,30.700001,24.340000,25.700001,20.494232,25534800
2001-11-01,26.719999,31.200001,26.100000,31.030001,24.744593,21501900
2001-12-01,30.570000,35.349998,30.500000,31.930000,25.462288,15672500
2002-01-01,32.450001,37.980000,31.870001,35.060001,27.958282,32498800
2002-02-01,35.509998,35.580002,32.189999,34.169998,27.248558,14543100
2002-03-01,33.880001,39.040001,33.650002,37.200001,29.664803,18392500
2002-04-01,37.200001,38.619999,31.559999,32.599998,25.996576,28959100
2002-05-01,32.470001,32.669998,25.670000,25.799999,20.573975,37344700
2002-06-01,26.030001,27.330000,21.250000,24.290001,19.476223,26885700
2002-07-01,24.120001,24.250000,17.200001,18.700001,14.994047,29565500
2002-08-01,18.770000,21.590000,16.090000,19.250000,15.435041,18894600
2002-09-01,17.730000,18.190001,10.760000,11.250000,9.020480,28804800
2002-10-01,10.980000,19.900000,9.930000,19.139999,15.346845,46716900
2002-11-01,19.450001,22.790001,18.430000,22.250000,17.840508,31213200
2002-12-01,22.750000,22.980000,19.020000,19.500000,15.635503,24170400
2003-01-01,20.219999,25.150000,20.129999,23.500000,18.842785,43053500
2003-02-01,23.340000,23.879999,20.620001,20.900000,16.758047,40385500
2003-03-01,21.100000,21.500000,18.299999,18.959999,15.202517,47848800
2003-04-01,19.100000,26.280001,18.990000,25.510000,20.454443,58232900
2003-05-01,25.450001,28.480000,24.680000,28.480000,22.835850,34863700
2003-06-01,28.680000,33.639999,28.469999,29.219999,23.575212,46676600
2003-07-01,28.750000,30.860001,27.350000,29.350000,23.680096,32368700
2003-08-01,29.350000,30.219999,27.260000,29.940001,24.156120,27821000
2003-09-01,30.790001,34.799999,30.299999,30.410000,24.535322,46339200
2003-10-01,30.510000,38.700001,30.490000,36.540001,29.481125,58095800
2003-11-01,37.130001,39.080002,36.119999,38.549999,31.102821,30548100
2003-12-01,39.060001,41.910000,39.060001,41.560001,33.531338,30499000
2004-01-01,42.750000,45.830002,40.540001,41.459999,33.450657,43103200
2004-02-01,40.790001,44.470001,38.900002,39.599998,31.949982,30569900
2004-03-01,40.270000,40.939999,36.709999,39.310001,31.716002,45756300
2004-04-01,39.799999,41.910000,37.200001,37.279999,30.078161,39596100
2004-05-01,37.689999,40.610001,36.150002,40.400002,32.595440,30105700
2004-06-01,39.810001,42.139999,39.500000,41.810001,33.922806,25425700
2004-07-01,42.099998,42.150002,37.529999,40.009998,32.462360,44928500
2004-08-01,39.770000,40.049999,35.020000,36.459999,29.582052,30785800
2004-09-01,36.650002,40.340000,36.230000,38.950001,31.602329,32109100
2004-10-01,39.830002,42.860001,38.820000,42.650002,34.604351,33938500
2004-11-01,42.730000,45.830002,42.650002,44.500000,36.105362,23254500
2004-12-01,45.009998,45.709999,42.959999,44.209999,35.870064,31617700
2005-01-01,44.560001,44.669998,38.259998,38.720001,31.415728,57198200
2005-02-01,38.520000,40.849998,38.299999,40.549999,32.900505,32787500
2005-03-01,40.680000,41.430000,39.160000,40.080002,32.519161,29402100
2005-04-01,40.369999,40.400002,36.599998,39.430000,31.991781,37802000
2005-05-01,39.400002,42.209999,39.220001,41.250000,33.468456,31726600
2005-06-01,40.990002,43.750000,40.709999,43.299999,35.552948,35539200
2005-07-01,43.480000,44.950001,41.419998,42.820000,35.158825,26590600
2005-08-01,42.669998,43.970001,41.709999,42.669998,35.035664,17349200
2005-09-01,43.099998,44.580002,41.299999,43.330002,35.577583,19621700
2005-10-01,43.189999,44.320000,42.020000,42.939999,35.257355,26529100
2005-11-01,42.639999,45.410000,41.860001,45.150002,37.071957,18001900
2005-12-01,45.259998,46.549999,44.919998,45.070000,37.006271,13039200
2006-01-01,45.610001,51.520000,43.950001,51.369999,42.179092,36113100
2006-02-01,51.080002,52.259998,49.119999,51.099998,41.957413,13173500
2006-03-01,51.419998,54.450001,50.570000,54.320000,44.601299,19378400
2006-04-01,54.189999,57.709999,54.119999,54.630001,44.855843,24088300
2006-05-01,54.560001,56.330002,51.000000,52.630001,43.213665,30433600
2006-06-01,52.509998,54.299999,48.180000,52.520000,43.583187,32027400
2006-07-01,52.709999,53.490002,43.299999,45.630001,37.865593,71723700
2006-08-01,45.349998,48.320000,43.799999,47.740002,39.616558,35893500
2006-09-01,47.730000,50.230000,45.610001,49.500000,41.077072,33502400
2006-10-01,49.029999,52.110001,48.720001,49.639999,41.193249,38890100
2006-11-01,50.060001,52.869999,48.740002,52.220001,43.334229,22780800
2006-12-01,51.740002,53.380001,50.820000,53.099998,44.064491,19033100
2007-01-01,53.700001,55.959999,45.910000,46.340000,38.454777,80488700
2007-02-01,46.700001,47.849998,44.950001,46.020000,38.189224,33036500
2007-03-01,45.090000,48.950001,44.169998,44.650002,37.052341,45660300
2007-04-01,45.000000,50.599998,44.720001,48.000000,39.832302,38304800
2007-05-01,48.130001,48.419998,45.779999,47.740002,39.616558,29648800
2007-06-01,49.040001,51.570000,47.750000,51.070000,42.932442,35212800
2007-07-01,51.599998,57.279999,49.770000,53.919998,45.328312,51409800
2007-08-01,53.950001,55.500000,49.990002,54.070000,45.454414,46362000
2007-09-01,53.470001,59.049999,53.419998,58.669998,49.321449,29951900
2007-10-01,58.430000,59.860001,52.470001,54.279999,45.630955,46780500
2007-11-01,53.080002,54.310001,49.939999,51.220001,43.058537,36586800
2007-12-01,52.320000,53.900002,49.880001,51.049999,42.915623,27856600
2008-01-01,51.790001,51.930000,43.000000,47.709999,40.107822,80983400
2008-02-01,48.330002,49.580002,46.200001,47.410000,39.855633,43427900
2008-03-01,47.939999,52.080002,47.209999,49.570000,41.671452,56744300
2008-04-01,48.779999,53.500000,48.720001,50.230000,42.226292,97592700
2008-05-01,50.459999,55.509998,48.430000,54.599998,45.899967,49974800
2008-06-01,54.070000,54.599998,51.299999,52.110001,44.433376,46018000
2008-07-01,51.639999,59.419998,50.619999,57.810001,49.293678,75147800
2008-08-01,58.029999,58.830002,55.320000,56.080002,47.818539,37536300
2008-09-01,55.939999,59.189999,50.889999,53.430000,45.558922,67279700
2008-10-01,51.869999,52.849998,29.309999,35.330002,30.125336,89543500
2008-11-01,35.330002,38.869999,29.370001,34.139999,29.110643,61900000
2008-12-01,33.290001,36.549999,31.629999,36.220001,30.884228,53546800
2009-01-01,35.650002,37.660000,32.820000,35.380001,30.167965,67937000
2009-02-01,35.029999,39.040001,31.670000,32.139999,27.405273,43454000
2009-03-01,32.029999,38.119999,31.129999,35.290001,30.091227,58603500
2009-04-01,34.849998,41.599998,34.709999,38.090000,32.478748,53307500
2009-05-01,38.090000,43.349998,37.099998,43.349998,36.963867,48863400
2009-06-01,43.639999,45.020000,38.959999,40.189999,34.698082,43812000
2009-07-01,40.320000,47.459999,37.779999,47.250000,40.793339,32948700
2009-08-01,47.380001,49.150002,45.549999,48.759998,42.097000,15345200
2009-09-01,48.540001,51.759998,47.770000,48.869999,42.191967,31048500
2009-10-01,48.970001,52.730000,45.139999,45.270000,39.083897,34534100
2009-11-01,45.889999,49.389999,45.389999,47.869999,41.328617,29932500
2009-12-01,48.340000,48.459999,43.799999,46.810001,40.413467,29419000
2010-01-01,47.230000,51.250000,44.860001,45.320000,39.127068,51815700
2010-02-01,46.650002,47.630001,42.000000,44.580002,38.488201,57787300
2010-03-01,44.950001,48.480000,44.770000,48.169998,41.587616,48195800
2010-04-01,49.009998,50.099998,46.639999,47.450001,40.966007,40027100
2010-05-01,47.680000,47.939999,40.950001,42.430000,36.631992,56737700
2010-06-01,43.180000,46.619999,41.950001,44.299999,38.246456,46915400
2010-07-01,45.130001,48.700001,44.709999,45.869999,39.980347,37833600
2010-08-01,46.259998,47.250000,43.369999,43.540001,37.949520,29506100
2010-09-01,44.580002,50.060001,44.490002,49.310001,42.978661,35161100
2010-10-01,50.759998,54.660000,49.220001,51.730000,45.087936,45290800
2010-11-01,51.820000,53.279999,46.700001,46.930000,40.904251,26479400
2010-12-01,47.360001,50.880001,47.130001,50.610001,44.111736,20506800
2011-01-01,50.660000,58.439999,48.360001,57.900002,50.465710,41459800
2011-02-01,58.320000,61.279999,58.119999,60.400002,52.644714,24462400
2011-03-01,61.150002,62.230000,54.189999,61.360001,53.481453,40090300
2011-04-01,61.410000,68.389999,61.230000,64.529999,56.244427,24437400
2011-05-01,65.540001,65.599998,59.000000,62.169998,54.187447,34651000
2011-06-01,62.080002,62.299999,57.939999,60.650002,53.600800,37049300
2011-07-01,60.169998,64.830002,56.250000,62.410000,55.156239,44047200
2011-08-01,63.169998,63.220001,48.290001,54.509998,48.174435,48806800
2011-09-01,53.770000,54.470001,47.389999,50.619999,44.736565,50714600
2011-10-01,49.730000,63.430000,47.860001,60.360001,53.344509,32247500
2011-11-01,58.290001,62.150002,55.110001,59.959999,52.990993,35597800
2011-12-01,60.150002,60.580002,51.400002,52.950001,46.795750,32680400
2012-01-01,54.279999,60.790001,52.779999,60.480000,53.450554,46224800
2012-02-01,61.389999,68.500000,61.330002,67.610001,59.751854,26434200
2012-03-01,67.830002,72.519997,66.059998,69.820000,61.704994,36279500
2012-04-01,70.190002,71.279999,63.380001,66.290001,58.585285,57251100
2012-05-01,66.199997,66.639999,56.650002,57.320000,50.657833,44824800
2012-06-01,55.689999,60.680000,54.830002,59.360001,53.320259,30197700
2012-07-01,60.029999,65.320000,54.779999,63.360001,56.913265,56148000
2012-08-01,63.840000,66.250000,61.889999,65.660004,58.979244,26376900
2012-09-01,66.519997,73.860001,65.589996,71.330002,64.072342,21316400
2012-10-01,72.110001,73.349998,68.250000,72.900002,65.482582,34660900
2012-11-01,73.580002,78.660004,70.489998,77.989998,70.054695,19752700
2012-12-01,79.500000,81.559998,78.559998,80.379997,72.201523,20231000
2013-01-01,82.050003,82.900002,76.739998,82.019997,73.674644,32046600
2013-02-01,83.309998,83.639999,77.000000,78.199997,70.243324,21452500
2013-03-01,78.250000,84.660004,77.720001,80.540001,72.345222,21541200
2013-04-01,80.629997,81.269997,74.120003,79.849998,71.725433,35545300
2013-05-01,79.820000,83.349998,73.440002,73.440002,65.967651,25371800
2013-06-01,75.010002,77.769997,71.070000,72.830002,66.386353,32207900
2013-07-01,72.709999,76.400002,69.959999,72.889999,66.441040,40447100
2013-08-01,73.930000,77.459999,73.510002,73.820000,67.288757,19123700
2013-09-01,73.000000,75.870003,69.709999,73.919998,67.379921,25125500
2013-10-01,73.849998,80.019997,70.199997,78.349998,71.417961,30600100
2013-11-01,78.139999,83.550003,77.089996,82.720001,75.401329,19325600
2013-12-01,82.139999,87.419998,80.199997,87.139999,79.430275,15224800
2014-01-01,84.970001,85.620003,75.639999,76.419998,69.658730,30919400
2014-02-01,76.199997,80.989998,74.599998,80.290001,73.186333,16670000
2014-03-01,78.790001,81.849998,74.589996,81.309998,74.116081,21276800
2014-04-01,81.459999,81.830002,77.750000,80.989998,73.824394,20753500
2014-05-01,80.900002,81.160004,74.120003,76.500000,69.731636,19347800
2014-06-01,76.129997,78.800003,74.660004,77.000000,72.439911,13999500
2014-07-01,76.849998,82.699997,76.760002,78.489998,73.841667,20617300
2014-08-01,77.550003,79.250000,75.629997,77.930000,73.314842,16853100
2014-09-01,78.400002,78.650002,71.660004,72.160004,67.886551,19848200
2014-10-01,71.839996,71.849998,64.099998,68.129997,64.095215,40774900
2014-11-01,67.220001,71.290001,66.169998,70.320000,66.155518,17152700
2014-12-01,71.080002,71.889999,66.580002,69.650002,65.525192,21779900
2015-01-01,69.790001,70.360001,62.820000,65.360001,61.489262,29316800
2015-02-01,66.169998,70.500000,65.930000,70.190002,66.033211,19014900
2015-03-01,70.190002,74.160004,66.830002,72.169998,67.895950,26330600
2015-04-01,73.040001,77.110001,71.250000,75.690002,71.207497,19380100
2015-05-01,75.900002,77.360001,73.029999,73.900002,69.523499,18494100
2015-06-01,74.080002,76.110001,69.650002,70.230003,67.138176,17521100
2015-07-01,70.800003,75.080002,67.019997,71.669998,68.514771,32670600
2015-08-01,72.449997,73.279999,63.060001,67.260002,64.298927,29508200
2015-09-01,66.129997,68.000000,62.570000,64.790001,61.937668,28556300
2015-10-01,64.540001,79.320000,63.430000,78.709999,75.244843,24913200
2015-11-01,79.669998,80.690002,77.419998,79.000000,75.522079,19826600
2015-12-01,79.430000,81.209999,76.580002,79.099998,75.617676,17928700
2016-01-01,76.739998,80.989998,75.889999,79.800003,76.286858,31681700
2016-02-01,78.669998,79.970001,72.660004,75.339996,72.023201,27441600
2016-03-01,76.790001,81.239998,75.790001,80.419998,76.879562,16625100
2016-04-01,78.720001,81.190002,76.629997,78.620003,75.158813,23189500
2016-05-01,79.680000,81.620003,76.550003,81.070000,77.500946,19671000
2016-06-01,80.970001,82.190002,71.389999,75.019997,72.937584,26223600
2016-07-01,75.430000,87.779999,73.330002,87.389999,84.964218,25633800
2016-08-01,87.169998,88.989998,85.279999,87.970001,85.528122,16656300
2016-09-01,88.279999,92.760002,86.699997,91.410004,88.872635,17444900
2016-10-01,90.919998,91.449997,86.070000,87.839996,85.401726,18590600
2016-11-01,87.709999,87.760002,80.930000,83.220001,80.909973,19721500
2016-12-01,82.889999,87.230003,81.300003,86.430000,84.030869,13233200
2017-01-01,86.250000,91.800003,85.489998,91.510002,88.969864,17934200
2017-02-01,90.930000,94.449997,90.190002,93.180000,90.593506,13920600
2017-03-01,93.959999,98.790001,93.739998,98.169998,95.444992,18219500
2017-04-01,98.620003,102.260002,96.040001,100.180000,97.399200,15893200
2017-05-01,100.419998,107.930000,100.419998,107.559998,104.574333,13904200
2017-06-01,107.050003,108.720001,102.959999,104.669998,103.091949,16183400
2017-07-01,103.849998,106.440002,101.709999,105.849998,104.254158,15959900
2017-08-01,106.680000,107.949997,103.769997,104.949997,103.367729,13256100
2017-09-01,105.709999,110.669998,104.349998,109.650002,107.996872,13077200
2017-10-01,109.970001,114.480003,109.839996,114.199997,112.478271,13258000
